model,disease,fold_id,uf,date,horizon_weeks,origin_date,lower_95,lower_90,lower_80,lower_50,pred,upper_50,upper_80,upper_90,upper_95,observed_value,wis,dispersion,overprediction,underprediction,ae_median,coverage_50,coverage_80,coverage_90,coverage_95
lgbm_quantile,dengue,1,AC,2022-10-09,16,2022-06-19,0.7628697567076652,5.009173516581835,14.513803025231368,27.077713452112786,70.69352162002023,117.6116914693353,131.62991431945025,177.24452650863074,220.61387153610437,31,15.17775758618333,15.17775758618333,0.0,0.0,39.693521620020235,True,True,True,True
lgbm_quantile,dengue,1,AC,2022-10-16,17,2022-06-19,1.1526118914977654,5.273607455469088,16.39087731657651,40.42215650815342,83.15278579273355,155.01046741538636,162.00381852874125,201.57196250740316,258.8234815049695,38,18.769691276772978,18.231434274961106,0.5382570018118713,0.0,45.15278579273355,False,True,True,True
lgbm_quantile,dengue,1,AC,2022-10-23,18,2022-06-19,0.833166583082071,5.181868754023718,15.3818683355379,40.606071652249696,84.35334585375968,151.3178790238932,163.58472933947766,219.7048619431424,264.703350419426,43,17.88840336123316,17.88840336123316,0.0,0.0,41.35334585375968,True,True,True,True
lgbm_quantile,dengue,1,AC,2022-10-30,19,2022-06-19,0.9838183922842224,5.131991733278978,16.16660589159917,41.57421807369323,90.08428383059928,192.48541063371994,195.4753062016209,259.22066395294445,324.32076499188906,35,24.56953009688336,23.108592747173752,1.460937349709607,0.0,55.084283830599276,False,True,True,True
lgbm_quantile,dengue,1,AC,2022-11-06,20,2022-06-19,1.6860581949519402,6.45740698318991,16.94002886373209,52.19898226684811,126.33966730843667,250.6936351214071,321.76314443432415,362.85000003716743,388.3212618927983,40,36.21340009709121,33.502515148902745,2.7108849481884696,0.0,86.33966730843667,False,True,True,True
lgbm_quantile,dengue,1,AC,2022-11-13,21,2022-06-19,1.695871460106697,6.349540541708961,18.010382124098122,55.037040270208934,135.5795943988216,312.1517080568503,378.41137312961445,399.83565512620515,516.7335669125296,30,46.82130036274825,41.25751363603515,5.563786726713096,0.0,105.5795943988216,False,True,True,True
lgbm_quantile,dengue,1,AC,2022-11-20,22,2022-06-19,1.215222376701977,5.784801683755778,17.56928190739507,56.99687951698805,153.009560372852,323.50484431235225,389.2047149715955,412.79129493672497,554.1349785012343,20,53.65900283876376,45.437474057210856,8.2215287815529,0.0,133.009560372852,False,True,True,True
lgbm_quantile,dengue,1,AC,2022-11-27,23,2022-06-19,1.6092416939015695,6.009824517454105,18.125229916259485,59.701997286062294,165.05571562701525,366.0508344193888,489.3293789603349,504.9407943794163,581.8594913847253,30,57.864507560595065,51.26406371924789,6.600443841347176,0.0,135.05571562701525,False,True,True,True
lgbm_quantile,dengue,1,AC,2022-12-04,24,2022-06-19,2.1884380363417546,6.267988800656064,18.768900684367363,65.53815782870213,197.57179356229003,432.9066333394142,486.15287378054654,535.6327384806126,575.4484722972222,12,73.88293551600674,60.48136695754684,13.401568558459887,0.0,185.57179356229003,False,False,True,True
lgbm_quantile,dengue,1,AC,2022-12-11,25,2022-06-19,2.9265781983237145,7.599328648147484,21.16667291035411,65.53815782870213,207.20723313730937,466.9140765383925,497.7618728309389,554.8712535171054,563.3486539211435,12,77.70802113638007,63.77361430547871,13.934406830901386,0.0,195.20723313730937,False,False,True,True
lgbm_quantile,dengue,1,AC,2022-12-18,26,2022-06-19,1.2364539358903486,5.309166808055936,18.679347880174085,69.21391597357147,153.34274246789744,332.40411729511237,424.17516445916004,479.72885280238546,504.7854111284969,13,61.04921673455772,47.29515810039204,13.75405863416568,0.0,140.34274246789744,False,False,True,True
lgbm_quantile,dengue,1,AC,2022-12-25,27,2022-06-19,0.0,0.6393509572278282,7.3703730570813315,28.405372295381092,78.75081997673783,160.33575231893153,187.22495687450674,280.00836915775386,382.6223639814996,44,20.41721630790286,20.41721630790286,0.0,0.0,34.75081997673783,True,True,True,True
lgbm_quantile,dengue,1,AC,2023-01-01,28,2022-06-19,2.457543361002965,8.013832975635198,21.58342980748977,81.6340939522488,179.11997625066306,401.18583275660825,666.3143890328548,839.2043613254007,880.4787505087787,133,51.31801674336456,51.31801674336456,0.0,0.0,46.11997625066306,True,True,True,True
lgbm_quantile,dengue,1,AC,2023-01-08,29,2022-06-19,2.770310481194701,8.361162597522,22.826269480039766,77.15567682407817,188.53884984386158,377.1043126087604,696.1829135399893,867.5644111683923,974.7783226554891,127,53.41169133488826,53.41169133488826,0.0,0.0,61.538849843861584,True,True,True,True
lgbm_quantile,dengue,1,AC,2023-01-15,30,2022-06-19,3.580194975871697,9.178103234438522,23.600732700406894,93.93082080141572,209.4374728047696,408.3938427520668,772.9771131443446,945.6462144097072,1022.3287878659517,155,56.236500070101506,56.236500070101506,0.0,0.0,54.43747280476961,True,True,True,True
lgbm_quantile,dengue,1,AC,2023-01-22,31,2022-06-19,3.4518584628739806,9.233333799464486,23.55384636516026,90.79958346997864,205.12118017621282,375.81314669127835,762.2871651655925,856.9029249419898,869.394791321392,180,49.27097014490307,49.27097014490307,0.0,0.0,25.121180176212818,True,True,True,True
lgbm_quantile,dengue,1,AC,2023-01-29,32,2022-06-19,3.8919847402546175,10.545822816547277,25.487785584490698,95.88692280966256,222.8810326579808,362.3317677986874,696.1005150603004,765.6383167655296,912.515776878384,191,46.68516000549554,46.68516000549554,0.0,0.0,31.881032657980796,True,True,True,True
lgbm_quantile,dengue,1,AC,2023-02-05,33,2022-06-19,3.755554933206654,11.218223023887223,26.60965007962896,100.66320812657915,235.62648695239625,371.72320072678724,568.8695897785425,771.3665150027164,899.0298553817425,196,44.93189060139919,44.93189060139919,0.0,0.0,39.62648695239625,True,True,True,True
lgbm_quantile,dengue,1,AC,2023-02-12,34,2022-06-19,3.640823913631637,12.471480579372821,28.400080126290167,97.10086425972847,210.11502908619283,291.7081078690312,560.0974473692972,771.3665150027164,847.658210082822,204,36.42761078780439,36.42761078780439,0.0,0.0,6.115029086192834,True,True,True,True
lgbm_quantile,dengue,1,AC,2023-02-19,35,2022-06-19,3.258692018127083,11.110509834372708,27.660647502165805,82.44068308988844,178.44676090007886,269.9844086020043,508.63696883176544,659.3231764849811,811.7405916523867,192,34.307303085408094,34.307303085408094,0.0,0.0,13.553239099921143,True,True,True,True
lgbm_quantile,dengue,1,AC,2023-02-26,36,2022-06-19,3.8770548996677308,12.515002431175736,26.851172705612843,87.4506140142792,181.42133340319975,250.50667612788533,423.30833882044016,715.7730092385574,886.0709691291538,257,40.42447500144562,38.98151414097569,0.0,1.442960860469927,75.57866659680025,False,True,True,True
lgbm_quantile,dengue,1,AC,2023-03-05,37,2022-06-19,3.803660352359372,12.479375658747765,24.735947223964597,74.77309586344653,163.07556018872694,209.41244863499813,407.0866498031877,659.4325343244509,827.1396166003555,231,40.08349701354082,35.286263376873734,0.0,4.797233636667083,67.92443981127306,False,True,True,True
lgbm_quantile,dengue,1,AC,2023-03-12,38,2022-06-19,3.3206568123612095,10.394437624919806,24.40569117348706,74.31711744088949,165.02662249238705,190.60225532154413,346.01886163435995,572.8572274936425,748.6219162756367,288,59.30504576189584,37.66110250001677,0.0,21.64394326187908,122.97337750761295,False,True,True,True
lgbm_quantile,dengue,1,AC,2023-03-19,39,2022-06-19,3.2338429556355432,10.339182115166963,23.734737655196223,56.79784059493355,127.01357441242281,183.4231482942131,282.6989052597949,514.495596960667,514.979743135228,231,43.360950318137796,32.788316605740704,0.0,10.57263371239709,103.98642558757719,False,True,True,True
lgbm_quantile,dengue,1,AC,2023-03-26,40,2022-06-19,2.995367584777054,10.200519676283019,21.51228431705447,49.74417792522204,106.57852982257312,176.23621012736487,228.62951729406535,425.73295920583485,480.2818090774964,197,33.55956429408465,28.945388766832405,0.0,4.614175527252251,90.42147017742688,False,True,True,True
lgbm_quantile,dengue,1,AC,2023-04-02,41,2022-06-19,3.0761703519250645,10.086903747896589,20.666039302032356,46.848984806695775,113.42098731117048,163.39941767654824,245.79804183339405,421.159013455071,469.8333450994853,177,28.725207109447453,25.70285548201373,0.0,3.0223516274337245,63.57901268882952,False,True,True,True
lgbm_quantile,dengue,1,AC,2023-04-09,42,2022-06-19,3.186598907852297,10.238495825023824,21.236791224003994,50.18115586102609,112.21321797091603,159.224664630774,280.39791476168455,361.67826065602264,433.39188130528294,198,36.2606302736575,27.643889080496155,0.0,8.616741193161337,85.78678202908397,False,True,True,True
lgbm_quantile,dengue,1,AC,2023-04-16,43,2022-06-19,3.326563855049713,10.538627242060176,19.8688413572166,49.94063729167006,110.96761741207929,151.92533568881998,226.23167081536297,333.03628877087345,413.267907687108,203,37.688162182774356,26.338236780289908,0.0,11.349925402484448,92.03238258792071,False,True,True,True
lgbm_quantile,dengue,1,AC,2023-04-23,44,2022-06-19,3.1677242299901733,10.35042027078253,19.67316284000328,49.636919480724046,110.87828078254121,151.49108894332434,219.06951710104994,328.41256794422054,392.48268249385944,126,17.466670831278392,17.466670831278392,0.0,0.0,15.12171921745879,True,True,True,True
lgbm_quantile,dengue,1,AC,2023-04-30,45,2022-06-19,3.1673876817814173,10.333810519551806,20.2688497969137,50.58782400166966,107.298310369257,146.36148121875138,222.5403139614451,331.37202746616873,383.6389439920329,134,18.463356731373825,18.463356731373825,0.0,0.0,26.701689630743004,True,True,True,True
lgbm_quantile,dengue,1,AC,2023-05-07,46,2022-06-19,3.326735652000396,10.185494749885182,21.200184307003013,51.26507364382332,110.95110580980231,145.2275860329588,222.432763732639,335.8279694350297,382.83997137725225,87,18.0798652382527,18.0798652382527,0.0,0.0,23.951105809802314,True,True,True,True
lgbm_quantile,dengue,1,AC,2023-05-14,47,2022-06-19,3.285638327958726,9.361218488726292,19.874906289965026,48.65551309993926,96.12058152124087,134.50996732263357,208.87871178523307,337.8829452783432,388.7654032225739,103,15.525951956983594,15.525951956983594,0.0,0.0,6.879418478759135,True,True,True,True
lgbm_quantile,dengue,1,AC,2023-05-21,48,2022-06-19,2.460291030140249,8.025137863166483,17.376226856388048,42.2516387264901,83.73571955249994,117.50231778569537,195.11527651005582,338.3907286989407,411.3710340419522,77,14.82121836077824,14.82121836077824,0.0,0.0,6.735719552499944,True,True,True,True
lgbm_quantile,dengue,1,AC,2023-05-28,49,2022-06-19,2.1892676789532306,7.860298724587989,18.11558701545824,42.40153874877387,90.71575657975049,122.90547548992367,204.4608977869628,294.34757491730807,413.07294295506915,60,17.492188720856014,17.492188720856014,0.0,0.0,30.71575657975049,True,True,True,True
lgbm_quantile,dengue,1,AC,2023-06-04,50,2022-06-19,1.135795992814648,5.464792839320229,12.040753408512018,34.20438743950995,67.6745262293879,103.1891138713136,191.90062973606302,299.29170857931615,427.06704827747166,60,14.313124322114707,14.313124322114707,0.0,0.0,7.674526229387894,True,True,True,True
lgbm_quantile,dengue,1,AC,2023-06-11,51,2022-06-19,0.2952685995556454,4.640905306573189,11.441606116747048,26.821376408000706,68.76217421442408,94.59764936054539,182.15565198839292,293.52192231723944,404.6736875487414,27,17.655571390394613,17.655571390394613,0.0,0.0,41.76217421442408,True,True,True,True
lgbm_quantile,dengue,1,AC,2023-06-18,52,2022-06-19,0.0,3.9792249673421196,10.69312952770976,24.78093169680658,60.42118228151788,86.09716367480796,177.27982940061614,256.1262112468811,365.70734170860106,41,14.099633773164866,14.099633773164866,0.0,0.0,19.42118228151788,True,True,True,True
lgbm_quantile,dengue,1,AC,2023-06-25,53,2022-06-19,0.0,3.662184806032314,10.492722535162386,26.97898783328699,56.01280266053264,86.24446393251539,175.1019241225676,222.25774454902898,332.64106932570206,29,14.228776718690296,14.228776718690296,0.0,0.0,27.012802660532643,True,True,True,True
lgbm_quantile,dengue,1,AC,2023-07-02,54,2022-06-19,0.0,2.8851368422847585,9.975695722141158,27.638273837420037,49.30537358502317,98.18371523144458,164.96100092487134,222.2386299026911,320.4300399146712,27,14.200950477688416,14.05911184715063,0.14183863053778603,0.0,22.30537358502317,False,True,True,True
